,Sentiment,Tweet
0,negative,tolol gak hubung nya gugur dengan pakai hijab syar i yang kamu bilang bayi nya panas dalem gak hubung nya woyyyy otak jempol kamu gak singkron sih nulis komentar
1,negative,geblek kamu tata cowo banget dibela2in balik hadeww nanti tinggal lagi nyalahin tuh cowo kitenya yang oon
2,negative,kemarin termewek2 sekarang lengket lagi duhhh labil banget sih mbak kya abege ajah atau yang kemarin cari sensasi biar top markotoppp ertong gk kualitas
3,negative,inti kesel att nya gausah anak kasi kembang psikis anak depan orang benar benar tolol skrg anda anak anak dikatain orang benci bagaimana asa benci tahu batesnya nama manusia gaakan suka haters
4,negative,hadewwwww permpuan lagi sakit jiwa kenapa yang jadi peran utama film hantu jeruk purut seperti khabis stok artis saja
5,negative,pantesan tinggalin laki laki mikir kali perempuan kayagni urus saja gak becus bagaimana urus anak lebih baik anak bapake nya saja benar didik
6,negative,biasa balajaer nyampah di ig artis suka2 yang ig bikin caption balajaer yang heboh asik ceramahin yang ig sebentar lama2 di bikinin lagu sm kakak perempuan melly loh balajaer yang judul balajaer sabda seonggak koin laknat nya balajaer ngamuk iya banget koin laknat nya jadi goda di rt nya gigi aduh elah balajaer smua tahu kale laku biduan kamu seperti apa minus segala2nya di bela mati2an pada sakit jiwa
7,negative,karena rakyat indonesia bodoh tidak beda yang yang buruk sudah tahu prilaku buruk tidak tahu sopan santun yang pilih jadi panutan idola yang murah dr pada yang kelas ber etika
8,negative,ayu janda bego pny suami kapan nikah lagi
9,negative,anyiennnnggg suara hancur banget merdu tukang goreng
10,negative,syarat sah nikah agama islam 5 cpp cpw saksi wali nikah mas kawin mahar perkara makeup gak manglingi syarat sah nikah gak makeup syarat yang 5 penuh nikah sah yak emak emak julids
11,negative,cewek gatau ini ngerebut pacar orang udh abang yang ngedukung sifat jelek lagi ck
12,negative,eh situ kids jaman now banyak micin mna yang ngina bego pelihara
13,negative,jijik liat suer deh minceeee
14,negative,emang tabu cium gitu iya emang yang bikin eneg citra nya yang sok alim sok sok bijak sok sok yang lai anda citra sok alim sok suci serius
15,negative,yang jadi 1 cium dpn orang banyak yang sih mantri hutan dan lurah mungkin lagi mabok jadi gak mantri hutan dan lurah 2 teman helooow teman tidak libat cium bibir coba saja bayangin sanggup gak cium bibir sama teman lbh dr teman dasar laku kids jaman now yang emg bego karena banyak micin lho yah
16,negative,anjing nya ngamuk hidup dmana2 pny musuh udh kliatan mna yang orang nggak pny banyak musuh
17,negative,ahhh jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin kamu otak kamu selangkang paham moga tuhan ampunin munafik kamu cun
18,negative,yaa ampun upil naruto kata2nya cermin kalau yang perek culun alam banget kamu yaa kasihan saya prihatin mati saja deh kamu ngotorin dunia manusia kamu
19,negative,cuman jual goyang yak suara tahi
20,negative,kasi ih cari uang sampai segitunya
21,negative,anjing tonton yang mutu
22,negative,dulu inul goyang ngebor baju ketat dcekal harus ny ini juga dengan sgja goyang dada melulu suara nggak sbrpa mrsk moral anak muda yang nnton bawa nafsu saja
23,negative,pnyanyi dangdut yang nggak kelas bgini ini ya nonjolin suara nonjolin dada
24,negative,najis najis udh homo saja orang kaya gin musnah muka bumi
25,negative,haduuh orang gak akhlak bangeg asa kerja antem melulu musuh
26,negative,s lonte bukan sensasi ngjak ribut orang melulu sampah
27,negative,kayak banci dh nenek2 pny cucu now watching operasi mua top ttp saja kalau asli ny g cantik dalam
28,negative,bagus kalau mingkem saja hahahahahaha jahat akuuu
29,negative,oplas permak tetep jelek pokok muka tegang seperti banci sudah sekian
30,negative,lebih baik lihat adik molen biarpun cowok tapi cuantik gak kaya cewek tapi kayak banci wkwkwk
31,negative,banci rombeng jijik gay juga
32,negative,orang gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina2 orang astagfirullah kaya sih orang kaya mulut nya seperti sampah nggak sekolah
