,Sentiment,Tweet
0,-1,tolol tidak hubung gugur dengan pakai hijab syar bilang bayi panas dalem tidak hubung woyyyy otak jempol tidak singkron nulis komentar
1,-1,goblok tata cowo dibela2in balik hadeww nanti tinggal nyalahin tuh cowo kitenya oon
2,-1,kemarin termewek2 sekarang lengket duhhh labil kya abege ajah atau kemarin cari sensasi biar top markotoppp ertong gk kualitas
3,-1,inti kesel att gausah anak kasi kembang psikis anak depan benar benar tolol skrg anda anak anak dikatain benci bagaimana asa benci tahu batesnya nama manusia gaakan suka haters
4,-1,hadewwwww permpuan sakit jiwa kenapa jadi peran utama hantu jeruk purut seperti khabis stok artis
5,-1,pantesan tinggalin laki laki mikir kali perempuan kayagni urus tidak becus bagaimana urus anak lebih baik anak bapake benar didik
6,-1,biasa balajaer nyampah di ig artis suka2 ig caption balajaer heboh asik ceramahin ig sebentar lama2 di bikinin lagu sm kakak perempuan melly loh balajaer judul balajaer sabda seonggak koin laknat balajaer ngamuk iya koin laknat jadi goda di rt gigi aduh elah balajaer smua tahu kale laku biduan seperti apa minus segala2nya di bela mati2an pada sakit jiwa
7,-1,karena rakyat indonesia bodoh tidak beda buruk sudah tahu prilaku buruk tidak tahu sopan santun pilih jadi panutan idola murah dr pada kelas ber etika
8,-1,ayu janda bego pny suami kapan nikah
9,-1,anyiennnnggg suara hancur merdu tukang goreng
10,-1,syarat sah nikah agama islam 5 cpp cpw saksi wali nikah mas kawin mahar perkara makeup tidak manglingi syarat sah nikah tidak makeup syarat 5 penuh nikah sah yak emak emak julids
11,-1,cewek gatau ini ngerebut pacar udh abang ngedukung sifat jelek ck
12,-1,eh situ kids jaman now banyak micin mna ngina bego pelihara
13,-1,jijik liat suer deh minceeee
14,-1,emang tabu cium gitu iya emang eneg citra sok alim sok sok bijak sok sok lai anda citra sok alim sok suci serius
15,-1,jadi 1 cium dpn banyak mantri hutan dan lurah mungkin mabok jadi tidak mantri hutan dan lurah 2 teman helooow teman tidak libat cium bibir coba bayangin sanggup tidak cium bibir sama teman lbh dr teman dasar laku kids jaman now emg bego karena banyak micin lho yah
16,-1,anjing ngamuk hidup dmana2 pny musuh udh kliatan mna pny banyak musuh
17,-1,ahhh jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu kali yangg lebih micin otak selangkang paham moga tuhan ampunin munafik cun
18,-1,yaa ampun upil naruto kata2nya cermin perek culun alam yaa kasihan prihatin mati deh ngotorin dunia manusia
19,-1,cuman jual goyang yak suara tahi
20,-1,kasi ih cari uang sampai segitunya
21,-1,anjing tonton mutu
22,-1,dulu inul goyang ngebor baju ketat dcekal harus ny ini juga dengan sgja goyang dada melulu suara sbrpa mrsk moral anak muda nnton bawa nafsu
23,-1,pnyanyi dangdut kelas bgini ini ya nonjolin suara nonjolin dada
24,-1,najis najis udh homo kaya gin musnah muka bumi
25,-1,haduuh tidak akhlak bangeg asa kerja antem melulu musuh
26,-1,lonte bukan sensasi ngjak ribut melulu sampah
27,-1,kayak banci dh nenek2 pny cucu now watching operasi mua top ttp asli ny cantik dalam
28,-1,bagus mingkem hahahahahaha jahat akuuu
29,-1,oplas permak tetep jelek pokok muka tegang seperti banci sudah sekian
30,-1,lebih baik lihat adik molen biarpun cowok tapi cuantik tidak kaya cewek tapi kayak banci wkwkwk
31,-1,banci rombeng jijik gay juga
32,-1,gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina2 astagfirullah kaya kaya mulut seperti sampah sekolah
33,-1,cowok anjing cuihhh kaya koar ping kaya dunia tahu kaya kaya malahn perilaku sederhana pamer kaya dunia akhirat mampus harta tidak bawa mati pants buang laut anehhh
34,-1,cari sensasi tenar trus banya folowers tidak begitu begitu juga kalee darar tres bicara belepotan gk begitu kamfungan
35,-1,bicara belepotan gaya banci
36,-1,banyak makan tahi gin otak sudah penuh tahi jadi tidak berfikir positif bicara tidak moral dasar kaum2 laknat banci anjing kbanyakan burit jadi stres manusia tidak mau jumpa anjing anjing ketemu tahi
37,-1,sikat abiss lahh orng2 sial kaya gin pimpin negara tidak hormatin jangan mentang2 president sembarangin marah tidak hina pimpin harap tindak hukum orng ini
38,-1,jijik lihat tingkah upil mudah2an cepat tidur
39,-1,edan ini udh makan uang rakyat tidur
40,-1,manusia laknat mati apain
41,-1,sakit otak hati mah sudah tidak nurani urat malu pajak loh ngegaji orang2 gila hormat
42,-1,anak babi bangsat ken sumpel timah panas mulut biar modar
43,-1,ken sumpel timah panas mulut anak babi pesek buruk rupa
44,-1,hai anak bangsat babi pesek buruk rupa keriting ken penggal leher sampai putus lumayan makan tidak setia
45,-1,ratu pelakor jagat raya dimana2 lonte tidak mantri hutan dan lurah ngerasa lonte mantri hutan dan lurah dikit
46,-1,mahhhh temu buah ranum buah busuk deh tahu busuk manah mentok2nya mah gitu pelakor
47,-1,ah manda mah gatel liyat cowo dikit langsung sosor begok aje sama manda kegatelan cewek
48,-1,amanda muka tante umur tapi muka boros dasar cabe jujur mah kgk suka sama ini haltis
49,-1,astagah suka sama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
50,-1,alah laki laki jaman skrg sm bejat ustad seperti seperti gila sm perempuan istri stju sm bilang ustazah msuk surga bkan krna poligami masih banyak bisa jadi akhlak bisa masuk surga yaa smoga perempuan perempuan pelakor luar sna azab tidak ampun hidup gk selamat dunia akhirat
